N,P,K,TEMPERATURE,HUMIDITY,PH,RAINFALL,LABEL
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,RICE
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,RICE
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,RICE
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,RICE
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,RICE
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,RICE
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,RICE
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,RICE
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,RICE
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,RICE
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,RICE
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,RICE
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,RICE
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,RICE
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,RICE
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,RICE
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,RICE
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,RICE
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,RICE
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,RICE
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,RICE
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,RICE
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,RICE
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,RICE
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,RICE
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,RICE
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,RICE
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,RICE
